album,photo_id,description,views,image,height,width,uploader,year,date
Krewniacy,13,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 11.52Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 764
</div>",764,images/photoalbum/a3_photo_13.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,14,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 8.67Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 713
</div>",713,images/photoalbum/a3_photo_14.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,15,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 14.19Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 737
</div>",737,images/photoalbum/a3_photo_15.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,16,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 20.36Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 772
</div>",772,images/photoalbum/a3_photo_16.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,17,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 18.22Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 782
</div>",782,images/photoalbum/a3_photo_17.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,18,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 19.55Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 806
</div>",806,images/photoalbum/a3_photo_18.jpg,225,300,witold_gromadzki,2006,18-11-2006
Krewniacy,19,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 18-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 225 pikseli<br>
Rozmiar pliku: 18.99Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 705
</div>",705,images/photoalbum/a3_photo_19.jpg,225,300,witold_gromadzki,2006,18-11-2006
Zakończenie roku szkolnego 2005/06,20,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.39Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1058
</div>",1058,images/photoalbum/a4_photo_20.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,21,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 27.62Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1071
</div>",1071,images/photoalbum/a4_photo_21.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,22,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 21.27Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 999
</div>",999,images/photoalbum/a4_photo_22.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,23,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 28.31Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1013
</div>",1013,images/photoalbum/a4_photo_23.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,24,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 30.01Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1099
</div>",1099,images/photoalbum/a4_photo_24.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,25,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.45Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 991
</div>",991,images/photoalbum/a4_photo_25.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,26,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 26.89Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 992
</div>",992,images/photoalbum/a4_photo_26.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,27,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 26.33Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 987
</div>",987,images/photoalbum/a4_photo_27.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,28,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 25.77Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 989
</div>",989,images/photoalbum/a4_photo_28.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,29,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 300 x 400 pikseli<br>
Rozmiar pliku: 17.51Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1111
</div>",1111,images/photoalbum/a4_photo_29_t2.jpg,400,300,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,30,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 22.24Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1011
</div>",1011,images/photoalbum/a4_photo_30.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,31,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 25.44Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1007
</div>",1007,images/photoalbum/a4_photo_31.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,32,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 33.46Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1024
</div>",1024,images/photoalbum/a4_photo_32.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,33,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.99Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1002
</div>",1002,images/photoalbum/a4_photo_33.jpg,300,400,witold_gromadzki,2006,15-11-2006
